name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,Type,popular
Hangouts @ Kashish Caterers,Yes,No,3.4,10,HSR,Delivery,"Biryani, Kebab",400.0,Delivery,0
Bite Me Cupcakes,Yes,No,4.1,191,Koramangala 4th Block,Dessert Parlor,Desserts,300.0,Delivery,1
Bottle Genie,Yes,No,3.700141861024285,0,BTM,"Takeaway, Delivery",Beverages,350.0,Delivery,0
Swaadam Veg,Yes,No,3.6,34,BTM,Casual Dining,"South Indian, Chinese",300.0,Delivery,0
7 to 11 Food Court,Yes,No,3.7,16,Banaswadi,Quick Bites,others,200.0,Delivery,0
Shawarma Bite,No,No,3.700141861024285,0,BTM,Quick Bites,Arabian,200.0,Dine-out,0
M.M.A Kababs Rolls & Biryani Center,Yes,No,2.7,66,others,Quick Bites,others,400.0,Dine-out,0
Just Bake,No,No,3.700141861024285,0,others,Bakery,Bakery,400.0,Desserts,0
Xtreme Sports Bar,Yes,Yes,4.0,942,Sarjapur Road,others,others,1300.0,Drinks & nightlife,1
Fish Palace,No,No,3.0,28,Rajajinagar,Quick Bites,others,450.0,Delivery,0
Big Bowl Theory,No,No,3.1,27,others,Delivery,Continental,400.0,Delivery,0
Myu Bar at Gilly's Redefined,No,Yes,4.4,1237,Koramangala 4th Block,others,others,1200.0,Drinks & nightlife,1
Ragi Nadu,No,No,3.5,13,Electronic City,Quick Bites,others,450.0,Dine-out,0
Dad's Coffee Club,No,No,3.700141861024285,0,Residency Road,Cafe,others,200.0,Cafes,0
Chung's Chinese Corner,Yes,No,4.1,444,Malleshwaram,Casual Dining,others,600.0,Delivery,1
Zhangs Classic,Yes,No,2.6,170,Bannerghatta Road,Casual Dining,others,600.0,Delivery,0
Chaatimes,Yes,No,3.4,47,BTM,Quick Bites,others,200.0,Dine-out,0
Yak's Kitchen,No,No,4.0,166,Brigade Road,Quick Bites,others,400.0,Dine-out,1
Tiger Trail - Ramada Hotel,Yes,Yes,4.0,188,Shivajinagar,"Casual Dining, Bar",others,1300.0,Delivery,1
Nawab-E-Khana,Yes,No,3.2,30,BTM,Quick Bites,"North Indian, Biryani",500.0,Dine-out,0
Art of Biryani & Curries,Yes,No,3.4,9,others,Delivery,Biryani,250.0,Delivery,0
MiniMelts,No,No,3.9,66,Brigade Road,Dessert Parlor,Ice Cream,200.0,Desserts,0
New Star Hotel,No,No,3.700141861024285,0,Shivajinagar,Quick Bites,North Indian,200.0,Dine-out,0
New Alameen Restaurant,Yes,No,3.5,30,Ulsoor,Quick Bites,others,300.0,Dine-out,0
Soundarya Military Hotel,No,No,3.8,27,Rajajinagar,Quick Bites,South Indian,200.0,Dine-out,0
T Square,Yes,No,3.2,5,Sarjapur Road,Quick Bites,others,200.0,Delivery,0
Jaisalmer,No,No,3.7,57,St. Marks Road,Casual Dining,"North Indian, Chinese",700.0,Dine-out,0
Crafted Plate,Yes,Yes,4.2,240,JP Nagar,others,others,600.0,Dine-out,1
154 Breakfast Club,Yes,Yes,4.0,1509,others,Cafe,"Cafe, Continental",900.0,Cafes,1
Fill N Chill Resto Bar & Pub,Yes,Yes,3.9,598,Koramangala 4th Block,others,others,1200.0,Drinks & nightlife,0
Thalis Of India,Yes,No,3.6,23,Koramangala 7th Block,Delivery,others,500.0,Delivery,0
Khan's Biryani,Yes,No,3.0,11,BTM,Quick Bites,"Biryani, North Indian",200.0,Delivery,0
Basaveshwara Khanavali,No,No,3.700141861024285,0,Brookefield,Quick Bites,South Indian,200.0,Delivery,0
Happie Hippies,No,No,3.700141861024285,0,others,Quick Bites,others,500.0,Dine-out,0
Punjabi Nawabi,Yes,No,4.0,112,Koramangala 1st Block,Casual Dining,North Indian,500.0,Dine-out,1
Midnight Hunger Solutions 24/7,Yes,No,2.1,252,Indiranagar,Delivery,"North Indian, Mughlai, Chinese",500.0,Delivery,0
BISO - Citrus Hotels,No,Yes,3.9,158,Cunningham Road,Casual Dining,others,1100.0,Delivery,0
Navya's,Yes,No,2.9,46,HSR,Quick Bites,others,600.0,Delivery,0
B Bhagat Tarachand,Yes,Yes,4.2,176,others,Casual Dining,others,700.0,Delivery,1
Marwa Restaurant,Yes,Yes,3.5,552,Bannerghatta Road,Casual Dining,others,600.0,Delivery,0
Mangala's Tea Time Cafe,Yes,No,3.700141861024285,0,Koramangala 1st Block,Quick Bites,others,150.0,Dine-out,0
New Kohinoor Hotel,No,No,3.1,11,Commercial Street,Casual Dining,North Indian,450.0,Dine-out,0
Om Made Cafe,No,No,4.1,2730,Koramangala 5th Block,Cafe,others,1300.0,Cafes,1
Pizza Da Dhaba,No,No,3.1,4,Sarjapur Road,Quick Bites,others,150.0,Dine-out,0
Stories,Yes,Yes,4.6,2423,Rajajinagar,"Casual Dining, Bar",others,1100.0,Dine-out,1
Kanti Bakes & Flakes,Yes,No,3.700141861024285,0,Bannerghatta Road,Dessert Parlor,others,300.0,Delivery,0
Skyye,No,Yes,4.2,3140,Lavelle Road,others,Continental,2500.0,Dine-out,1
Sugar Stars Co,No,No,3.700141861024285,0,Basavanagudi,Bakery,"Bakery, Desserts",300.0,Desserts,0
Here & Now,No,No,4.6,1587,HSR,Cafe,others,750.0,Cafes,1
New Alameen Restaurant,Yes,No,3.5,30,Ulsoor,Quick Bites,others,300.0,Delivery,0
Ambur Star Briyani,Yes,No,3.7,17,Indiranagar,Casual Dining,"North Indian, Chinese, Biryani",500.0,Delivery,0
Pooja's Kitchen,No,No,3.7,17,others,Delivery,others,300.0,Delivery,0
Dine With Singhs,No,No,3.700141861024285,0,Koramangala 1st Block,Quick Bites,"North Indian, Chinese",300.0,Dine-out,0
Creme & Cheese,No,No,3.8,18,Koramangala 4th Block,"Takeaway, Delivery",Desserts,850.0,Delivery,0
Flavors of India,No,No,3.700141861024285,0,Indiranagar,Casual Dining,others,600.0,Buffet,0
Veg By Nature,Yes,No,3.4,14,JP Nagar,"Takeaway, Delivery",North Indian,200.0,Delivery,0
Dice N Dine,Yes,Yes,4.3,1800,Koramangala 5th Block,others,others,900.0,Dine-out,1
Tongue Twisters,Yes,No,3.5,283,BTM,Quick Bites,others,350.0,Delivery,0
Hot Cross Bun,Yes,No,3.3,4,Koramangala 6th Block,"Takeaway, Delivery",Fast Food,500.0,Delivery,0
Chung's Chinese Corner,Yes,No,2.8,234,Kalyan Nagar,Casual Dining,Chinese,700.0,Delivery,0
Checkered Bar - MGM Mark,No,No,3.6,19,Whitefield,others,others,1300.0,Drinks & nightlife,0
Kaapi Kendra,Yes,No,3.7,14,Jayanagar,Quick Bites,South Indian,100.0,Dine-out,0
Bombay Sandwich Company,Yes,No,3.6,34,Koramangala 7th Block,Delivery,others,400.0,Delivery,0
Imperio Restaurant,Yes,Yes,4.4,2382,Whitefield,Casual Dining,others,700.0,Dine-out,1
Bonsouth,Yes,Yes,4.2,2620,Koramangala 5th Block,Casual Dining,others,1300.0,Desserts,1
Kanchanjunga Kitchen - The Flavour of Hills,Yes,No,3.700141861024285,0,others,Quick Bites,others,300.0,Delivery,0
Hangover,Yes,Yes,4.0,1413,Indiranagar,others,others,1500.0,Dine-out,1
Sapfresh,No,No,3.700141861024285,0,Marathahalli,Delivery,Beverages,150.0,Delivery,0
Nandhana Palace,No,Yes,4.2,957,Indiranagar,"Casual Dining, Bar",others,800.0,Pubs and bars,1
Multi Cakes,No,No,3.7,44,JP Nagar,Dessert Parlor,"Bakery, Desserts",200.0,Delivery,0
Shahi Kabab,No,No,3.9,41,Frazer Town,Quick Bites,others,200.0,Dine-out,0
Taj Hotel,Yes,No,3.7,111,Shivajinagar,Casual Dining,"North Indian, Chinese",550.0,Dine-out,0
Khan Saheb Grills and Rolls,Yes,No,4.0,1072,Indiranagar,Quick Bites,"Fast Food, Rolls",350.0,Dine-out,1
Kanti Sweets,Yes,No,3.5,14,others,others,"Mithai, Street Food",400.0,Dine-out,0
Anda Ka Funda,Yes,No,3.2,64,BTM,Quick Bites,others,250.0,Delivery,0
My Space - WelcomeHotel Bengaluru,No,No,3.9,23,Richmond Road,others,Finger Food,2000.0,Dine-out,0
The Barn - Bar & Kitchen,No,Yes,4.2,254,Brigade Road,others,others,1500.0,Dine-out,1
Adithya,Yes,No,4.0,334,JP Nagar,Quick Bites,"South Indian, North Indian, Chinese",300.0,Delivery,1
Barbeque Nation,No,Yes,4.8,3864,JP Nagar,Casual Dining,others,1600.0,Dine-out,1
Kanti Sweets,Yes,No,3.8,151,HSR,others,"Mithai, Street Food",400.0,Desserts,0
BBQ Ride 46,Yes,No,3.4,7,others,others,others,200.0,Dine-out,0
Madeena Hotel,Yes,No,3.9,240,HSR,Quick Bites,others,400.0,Delivery,0
Royale Biryani,No,No,3.700141861024285,0,Koramangala 1st Block,"Takeaway, Delivery",Biryani,500.0,Delivery,0
TAB - Take A Break,No,No,4.1,523,JP Nagar,Cafe,others,550.0,Dine-out,1
Sukh Sagar,Yes,No,3.8,473,Koramangala 5th Block,Casual Dining,"South Indian, North Indian, Chinese, Street Food",500.0,Dine-out,0
Pizza Stop,Yes,No,3.2,44,Sarjapur Road,Quick Bites,others,600.0,Delivery,0
New Oottupura Restaurant,Yes,No,3.5,226,New BEL Road,Quick Bites,Kerala,300.0,Delivery,0
Keys Cafe - Keys Hotel,No,No,2.8,161,Whitefield,"Casual Dining, Bar",others,1200.0,Dine-out,0
Leung Fast Food,No,No,3.5,13,Banaswadi,Quick Bites,others,400.0,Dine-out,0
Bhagatram Sweets,No,No,3.6,221,Commercial Street,Quick Bites,others,300.0,Desserts,0
Yummy Biryani,Yes,No,3.8,41,Koramangala 7th Block,Quick Bites,Biryani,200.0,Dine-out,0
Goli Vada Pav No. 1,Yes,No,3.6,33,Ulsoor,Quick Bites,Street Food,200.0,Delivery,0
Lashiwalla,Yes,No,2.8,16,Marathahalli,others,others,100.0,Delivery,0
Sharma's Malai & Masala,Yes,No,4.0,457,Koramangala 1st Block,Casual Dining,North Indian,550.0,Delivery,1
Nawab's Kolkatta Roll,No,No,3.4,5,Brigade Road,others,others,150.0,Dine-out,0
Thottathil Restaurant,No,No,3.8,70,BTM,Quick Bites,others,300.0,Delivery,0
Ambur Biriyani Point,No,No,3.6,26,BTM,Quick Bites,Biryani,150.0,Delivery,0
Invitation Bar & Restaurant,No,No,3.0,15,BTM,others,North Indian,1000.0,Delivery,0
Biriyani Mane,Yes,No,3.9,130,Jayanagar,Quick Bites,"North Indian, Biryani",400.0,Delivery,0
Meat And Eat,Yes,No,3.1,73,Domlur,Quick Bites,"Fast Food, Burger",500.0,Dine-out,0
Hot Coffee,No,No,3.3,4,Rajajinagar,Quick Bites,others,150.0,Dine-out,0
Driven Cafe,Yes,No,3.4,122,Residency Road,Cafe,others,600.0,Cafes,0
Wazir's,Yes,No,3.3,261,Shanti Nagar,Casual Dining,"North Indian, Chinese",500.0,Delivery,0
Kulcha Kulture,Yes,No,3.4,13,Indiranagar,Delivery,North Indian,400.0,Delivery,0
Kombo King,No,No,3.700141861024285,0,HSR,Delivery,others,300.0,Delivery,0
Platter,Yes,No,2.9,25,Residency Road,Quick Bites,others,300.0,Delivery,0
Punjabi Times,Yes,Yes,4.1,1691,Bellandur,"Casual Dining, Bar",North Indian,1100.0,Buffet,1
Brew Cafe,No,No,3.2,4,BTM,Quick Bites,Fast Food,300.0,Delivery,0
Petoo,No,No,3.7,32,Commercial Street,Casual Dining,others,800.0,Dine-out,0
Amrut,Yes,No,3.5,250,Malleshwaram,Quick Bites,"North Indian, Chinese, Fast Food",300.0,Dine-out,0
Up Shawarma,Yes,No,3.4,14,Bellandur,Quick Bites,Arabian,150.0,Dine-out,0
Goli Vada Pav No. 1,No,No,3.6,19,Residency Road,Quick Bites,Street Food,200.0,Dine-out,0
Cafemoto,Yes,No,4.0,201,Koramangala 5th Block,Cafe,others,800.0,Dine-out,1
Bengaluru Foodies,No,No,3.700141861024285,0,Jayanagar,Quick Bites,"North Indian, South Indian",300.0,Delivery,0
BluO,No,Yes,4.1,405,Malleshwaram,others,others,1500.0,Dine-out,1
Rolls Corner,No,No,3.700141861024285,0,Brigade Road,Quick Bites,others,300.0,Delivery,0
Sweet Revenge Bake N Cafe,No,No,3.700141861024285,0,Electronic City,Quick Bites,others,200.0,Cafes,0
The Mylapore Cafe,No,No,3.7,23,Koramangala 1st Block,Quick Bites,South Indian,150.0,Dine-out,0
Stories - The Brew Chapter,No,No,3.700141861024285,0,BTM,others,others,1200.0,Pubs and bars,0
IceBreakers,No,No,4.3,185,Church Street,Dessert Parlor,"Desserts, Ice Cream",500.0,Delivery,1
All In One Desi Khana,No,No,3.700141861024285,0,Bellandur,Quick Bites,"North Indian, Chinese, Biryani",500.0,Delivery,0
Yaarub Hotel,No,No,3.700141861024285,0,Banashankari,Quick Bites,Biryani,250.0,Dine-out,0
The Egg Factory,Yes,No,4.0,1310,JP Nagar,Casual Dining,others,750.0,Dine-out,1
Urban Spice,Yes,No,3.6,23,Ejipura,Casual Dining,"North Indian, Chinese, Continental",800.0,Delivery,0
Sweet Revenge Bake N Cafe,No,No,3.700141861024285,0,Electronic City,Quick Bites,others,200.0,Delivery,0
Flame Pub & Restaurant - Brigade Garden,No,No,2.9,24,Brigade Road,others,others,1900.0,Drinks & nightlife,0
Ambur Biryani,Yes,No,3.700141861024285,0,others,Quick Bites,Biryani,200.0,Dine-out,0
Bihar Ki Shan,Yes,No,3.8,351,HSR,Quick Bites,North Indian,300.0,Delivery,0
Polar Bear,Yes,No,4.0,221,HSR,Dessert Parlor,others,400.0,Dine-out,1
Chef Baker's,Yes,No,2.9,30,Sarjapur Road,others,Bakery,450.0,Dine-out,0
Ice Burg,No,No,3.700141861024285,0,JP Nagar,Quick Bites,others,300.0,Cafes,0
Al-Bek,Yes,No,3.9,169,BTM,"Takeaway, Delivery",others,450.0,Delivery,0
South Ruchis Square,Yes,Yes,4.3,1033,others,Casual Dining,"North Indian, South Indian, Chinese",850.0,Dine-out,1
Kataria's Pakwan,Yes,No,3.3,97,others,Quick Bites,North Indian,400.0,Delivery,0
Baba Da Dhaba,No,Yes,4.1,450,Koramangala 7th Block,Casual Dining,North Indian,650.0,Delivery,1
HOTEL VKM,Yes,No,3.700141861024285,0,BTM,Quick Bites,South Indian,300.0,Delivery,0
Cake Yard,Yes,No,3.3,9,Basavanagudi,Dessert Parlor,Desserts,250.0,Desserts,0
Amma's Pastries,No,No,4.0,98,Ulsoor,Dessert Parlor,Bakery,400.0,Desserts,1
New Curries & Spice Restaurant,Yes,No,2.9,7,New BEL Road,Quick Bites,South Indian,200.0,Dine-out,0
Mama Mia!,Yes,No,4.3,420,Indiranagar,others,others,400.0,Cafes,1
Karavalli Food Court,No,No,3.2,4,Whitefield,Casual Dining,South Indian,400.0,Delivery,0
Parathe Ghar Ke,Yes,No,3.2,4,Bellandur,Quick Bites,North Indian,300.0,Delivery,0
Lazy Suzy,Yes,Yes,4.3,1258,Indiranagar,others,others,1000.0,Cafes,1
Airlines Hotel,Yes,No,4.0,869,Lavelle Road,Quick Bites,others,400.0,Dine-out,1
E - City Combos,Yes,No,3.5,6,Electronic City,"Takeaway, Delivery",others,350.0,Delivery,0
WAFL Co,Yes,No,4.2,53,Koramangala 5th Block,Dessert Parlor,"Desserts, Beverages",400.0,Delivery,1
Bubbles,Yes,No,3.7,21,Frazer Town,Cafe,Cafe,450.0,Delivery,0
Rakesh Kumar Pani Poori,No,No,3.6,13,Jayanagar,Quick Bites,Street Food,100.0,Delivery,0
Crunch Pizzas,No,No,2.3,77,Koramangala 1st Block,Quick Bites,"Italian, Pizza",600.0,Dine-out,0
Sri Venkateshwara Sweet House,No,No,3.3,8,Rajajinagar,Dessert Parlor,Desserts,100.0,Desserts,0
Silsila,No,No,2.7,47,Koramangala 4th Block,Casual Dining,North Indian,800.0,Dine-out,0
New Kohinoor Hotel,No,No,3.2,9,Commercial Street,Casual Dining,North Indian,450.0,Delivery,0
Grand Sweets & Snacks,No,No,3.3,5,Malleshwaram,others,others,300.0,Desserts,0
Black Kitchen,Yes,No,3.7,26,Koramangala 6th Block,Quick Bites,"Kerala, South Indian",400.0,Dine-out,0
Fazzito Kitchen,No,No,3.8,210,others,Casual Dining,North Indian,700.0,Dine-out,0
Five Star Chicken,Yes,No,3.4,9,Bellandur,Quick Bites,"Fast Food, Burger",200.0,Delivery,0
Ginger restaurant,No,No,3.700141861024285,0,others,Quick Bites,others,400.0,Delivery,0
Yo! Thali,Yes,No,3.5,6,HSR,Quick Bites,"North Indian, South Indian, Chinese",400.0,Delivery,0
Sri Venkateshwara Chat Centre,No,No,3.5,12,Banashankari,Quick Bites,Street Food,100.0,Dine-out,0
Ambur Biryani,No,No,3.700141861024285,0,Kammanahalli,Quick Bites,"Biryani, Kebab",250.0,Dine-out,0
English Channel,No,No,3.8,49,Jayanagar,others,Finger Food,1200.0,Dine-out,0
Tata Cha,Yes,No,3.2,9,Malleshwaram,others,others,500.0,Delivery,0
Quality Eat,Yes,No,3.700141861024285,0,Whitefield,Casual Dining,South Indian,400.0,Dine-out,0
RGS Ambur briyani,No,No,3.700141861024285,0,BTM,Quick Bites,"Biryani, Kebab",300.0,Delivery,0
Nandhi Andhra Style Family Restaurant,Yes,No,3.4,13,Jayanagar,Quick Bites,others,400.0,Dine-out,0
Swadesh Tadka,Yes,No,3.5,179,Banashankari,Casual Dining,others,600.0,Delivery,0
Akshaya Grand,Yes,No,3.4,29,BTM,Casual Dining,North Indian,750.0,Delivery,0
Breaktime Brew,Yes,No,3.7,24,Koramangala 7th Block,Cafe,Cafe,550.0,Delivery,0
Foodhall,Yes,No,4.0,113,MG Road,Casual Dining,others,1000.0,Dine-out,1
Crunch Pizzas,No,No,2.3,77,Koramangala 1st Block,Quick Bites,"Italian, Pizza",600.0,Dine-out,0
New Shalimar Hotel,No,No,3.700141861024285,0,others,Quick Bites,North Indian,300.0,Dine-out,0
Tasty Box,Yes,No,3.0,29,others,Quick Bites,"North Indian, Chinese, Seafood",500.0,Delivery,0
The Wok,Yes,No,2.8,89,Whitefield,others,"Chinese, Momos",500.0,Delivery,0
Cake Yard,Yes,No,3.3,9,Basavanagudi,Dessert Parlor,Desserts,250.0,Desserts,0
Malabar Kitchen,Yes,No,3.2,5,Commercial Street,Quick Bites,others,300.0,Dine-out,0
Annapurna Bengali Restaurant,No,No,3.9,50,Whitefield,Quick Bites,others,350.0,Dine-out,0
Pout,No,No,4.0,40,BTM,others,Beverages,400.0,Dine-out,1
Supreme Biryani,Yes,No,3.700141861024285,0,others,"Takeaway, Delivery",Biryani,500.0,Delivery,0
Simple Thindies,No,No,3.5,8,Banashankari,Quick Bites,South Indian,200.0,Dine-out,0
All Saints Bakery,No,No,3.6,23,Brigade Road,Bakery,Bakery,200.0,Desserts,0
Coast,Yes,No,3.3,59,others,Casual Dining,others,750.0,Delivery,0
Chatorezz,Yes,No,3.6,26,Marathahalli,Quick Bites,"North Indian, Chinese",250.0,Delivery,0
Donne Biriyani Mane,No,No,3.2,6,others,Quick Bites,Biryani,300.0,Delivery,0
Ambur Dum Biriyani,No,No,3.700141861024285,0,Basavanagudi,Quick Bites,Biryani,250.0,Dine-out,0
Magic Biryani,No,No,3.700141861024285,0,Richmond Road,Quick Bites,"Biryani, Kebab",150.0,Dine-out,0
Paratha Xpress,Yes,No,3.5,7,Ulsoor,Quick Bites,"North Indian, Chinese",200.0,Dine-out,0
The Ganache Factory,No,No,3.700141861024285,0,Bellandur,others,"Desserts, Bakery",400.0,Delivery,0
Ta'aam,Yes,No,4.1,405,Cunningham Road,Casual Dining,others,750.0,Dine-out,1
Nawabi Zaica,Yes,No,3.5,19,Marathahalli,Casual Dining,"North Indian, Mughlai, Chinese",600.0,Delivery,0
Pub Lounge,No,No,3.700141861024285,0,Koramangala 4th Block,Quick Bites,others,500.0,Dine-out,0
LIT Gastro Pub,Yes,Yes,3.7,205,Jayanagar,others,others,1000.0,Dine-out,0
Keventers,No,No,3.0,14,Brigade Road,others,others,400.0,Desserts,0
Scoops N Smiles,Yes,No,3.3,7,Rajajinagar,others,others,200.0,Desserts,0
Popsies,Yes,No,3.9,823,Koramangala 5th Block,Casual Dining,"Chinese, Momos",750.0,Delivery,0
South Kitchen,Yes,No,4.3,275,Basavanagudi,Quick Bites,South Indian,100.0,Delivery,1
Cakecraft,No,No,3.700141861024285,0,Jayanagar,others,Desserts,350.0,Desserts,0
Maa'r Rannaghor,Yes,No,3.8,22,JP Nagar,Quick Bites,others,400.0,Delivery,0
Murphy's Brewhouse - The Paul Bangalore,No,Yes,4.3,2039,Domlur,others,others,1700.0,Drinks & nightlife,1
Nawab's Kolkatta Roll,Yes,No,3.4,4,Brigade Road,others,others,150.0,Delivery,0
Halli Mane,Yes,No,3.2,5,others,Quick Bites,South Indian,300.0,Delivery,0
Drunkling - Sizzlers and Pub,Yes,Yes,4.4,346,Koramangala 5th Block,"Casual Dining, Bar",others,1000.0,Pubs and bars,1
FreshMenu,Yes,No,3.9,627,Banashankari,Delivery,others,450.0,Delivery,0
The Perfect Stop,No,No,3.5,11,Shanti Nagar,Quick Bites,others,300.0,Dine-out,0
New Punjabi Dhaba,Yes,No,3.9,782,HSR,Quick Bites,"North Indian, Chinese",300.0,Delivery,0
Waffle In The Box,Yes,No,3.700141861024285,0,HSR,Dessert Parlor,Desserts,300.0,Desserts,0
What's In A Name,Yes,Yes,4.1,1774,Koramangala 5th Block,others,others,1200.0,Drinks & nightlife,1
The Bahubali,Yes,Yes,3.4,153,Marathahalli,Casual Dining,"North Indian, Chinese",800.0,Dine-out,0
Chai Nama,No,No,3.700141861024285,0,Koramangala 6th Block,Delivery,others,200.0,Delivery,0
Barista,No,No,3.7,35,Shanti Nagar,Cafe,Cafe,300.0,Cafes,0
Lets cafe,No,No,3.5,6,Koramangala 5th Block,Quick Bites,"Chinese, North Indian",250.0,Delivery,0
Parimala Sweets,No,No,3.700141861024285,0,Jayanagar,others,"Mithai, Street Food",200.0,Desserts,0
Haveli,Yes,No,3.7,61,Marathahalli,Casual Dining,others,700.0,Dine-out,0
Hyderabad Biryaani Palace,No,No,3.5,13,Bellandur,Casual Dining,others,700.0,Delivery,0
NGV Fast Food,No,No,3.5,8,Koramangala 6th Block,Quick Bites,"North Indian, Fast Food",250.0,Delivery,0
Dakshin Restaurant,Yes,No,3.6,16,Brigade Road,Casual Dining,others,800.0,Delivery,0
Bakers Town,Yes,No,3.6,41,BTM,Cafe,others,600.0,Cafes,0
Sixth Avenue Cafe And Patisserie,No,No,4.4,177,Koramangala 5th Block,others,others,600.0,Dine-out,1
Pizza Hut,Yes,No,3.7,486,others,Quick Bites,Pizza,750.0,Delivery,0
Mac Fast Food,No,No,2.8,50,Old Airport Road,Quick Bites,others,400.0,Dine-out,0
XO Belgian Waffle,Yes,No,3.700141861024285,0,Kalyan Nagar,Dessert Parlor,"Desserts, Beverages",400.0,Delivery,0
The Vintage Cafe,Yes,No,3.0,62,Banashankari,Cafe,others,400.0,Delivery,0
Basaveshwara Khanavali,No,No,3.700141861024285,0,Electronic City,Quick Bites,South Indian,100.0,Delivery,0
Wamama,Yes,Yes,4.2,354,Banashankari,Casual Dining,others,800.0,Delivery,1
Hang10 Resto N Cafe,Yes,No,3.7,101,BTM,Cafe,others,700.0,Delivery,0
Rizq Restaurant,No,No,3.700141861024285,0,Richmond Road,Quick Bites,Biryani,150.0,Dine-out,0
BIB-Breakfast In The Box,Yes,No,3.700141861024285,0,Ulsoor,Quick Bites,others,600.0,Dine-out,0
YORK St.,Yes,No,4.4,950,Koramangala 5th Block,Cafe,others,900.0,Cafes,1
Cafe Cassia& Deli,No,No,4.2,116,Ulsoor,others,others,1000.0,Cafes,1
Chillout,Yes,No,3.700141861024285,0,BTM,Cafe,others,200.0,Dine-out,0
Gravy Train,No,No,3.700141861024285,0,Indiranagar,Delivery,South Indian,600.0,Delivery,0
Delly Belly,No,No,3.2,5,Koramangala 6th Block,Delivery,"North Indian, Mughlai",400.0,Delivery,0
Niice Cream,No,No,3.8,38,Koramangala 5th Block,Dessert Parlor,others,400.0,Desserts,0
Cake Chemistry,Yes,No,3.700141861024285,0,Jayanagar,Bakery,"Bakery, Desserts",500.0,Delivery,0
Indian Paratha Factory,Yes,No,2.9,24,BTM,Quick Bites,North Indian,250.0,Dine-out,0
Masaala Town,No,No,3.700141861024285,0,others,Quick Bites,"Biryani, Fast Food",250.0,Dine-out,0
Pot-O-Noodles,No,Yes,4.3,164,Koramangala 4th Block,Casual Dining,others,800.0,Dine-out,1
Game Of Pizzas,No,No,3.6,16,Koramangala 4th Block,Delivery,others,500.0,Delivery,0
Xtreme Sports Bar,No,Yes,3.7,1118,Indiranagar,others,others,1500.0,Drinks & nightlife,0
New Samrat Restaurant,No,No,4.1,62,others,Casual Dining,"North Indian, South Indian, Chinese",450.0,Dine-out,1
Enerjuvate Studio & Cafe,Yes,Yes,4.4,467,Koramangala 4th Block,Cafe,others,800.0,Delivery,1
Pizza Stop,Yes,No,3.9,385,JP Nagar,Quick Bites,others,600.0,Delivery,0
Banashankari Donne Biriyani,Yes,No,3.8,104,Banashankari,Quick Bites,"Biryani, Fast Food",300.0,Delivery,0
Village Restaurant,Yes,No,3.6,348,Marathahalli,Casual Dining,others,1000.0,Delivery,0
Hatti Punjab Di,Yes,No,2.8,20,Brigade Road,Casual Dining,"North Indian, Chinese",550.0,Delivery,0
Pinxx - Royal Orchid Central,Yes,Yes,3.8,198,MG Road,Casual Dining,others,1600.0,Dine-out,0
Ganesh Restaurant,Yes,No,3.7,51,Koramangala 5th Block,Quick Bites,others,300.0,Delivery,0
Salut,Yes,Yes,4.1,442,Jayanagar,others,others,1200.0,Delivery,1
The Chocolate Heaven,Yes,No,3.700141861024285,0,Commercial Street,others,others,600.0,Dine-out,0
